,PJ,UTC_TIME,Moon_SIII_LON,FP_LON,FP_LAT,FP_LON_ERR,FP_LAT_ERR,EMISSION_ANGLE,EQ_LEAD_ANGLE,EQ_LEAD_ANGLE_ERR
0,          PJ01        , 2016-08-27T14:04:30        ,25.11,26.72,-64.97,0.18,0.28,36.38,2.7536781609195415,0.2068965517241388
1,          PJ01        , 2016-08-27T14:05:32        ,25.66,27.42,-64.86,0.18,0.28,36.21,2.499080459770113,0.2068965517241388
2,          PJ01        , 2016-08-27T14:06:33        ,26.21,27.78,-64.82,0.19,0.28,35.91,2.6352873563218395,0.21839080459770344
3,          PJ03        , 2016-12-11T17:51:10        ,318.0,329.56,-69.63,0.19,0.21,36.92,4.316425120772919,0.2294685990337939
4,          PJ03        , 2016-12-11T17:52:11        ,318.54,330.1,-69.61,0.18,0.21,36.26,4.204251207729442,0.21739130434781373
5,          PJ03        , 2016-12-11T17:53:11        ,319.08,330.54,-69.45,0.17,0.21,35.92,4.212850241545823,0.20540173819466645
6,          PJ03        , 2016-12-11T17:54:12        ,319.62,331.18,-69.65,0.17,0.21,35.08,3.978353510895829,0.20581113801452489
7,          PJ03        , 2016-12-11T17:55:13        ,320.16,331.42,-69.41,0.16,0.22,35.08,4.2277966101694915,0.1937046004842955
8,          PJ03        , 2016-12-11T17:56:13        ,320.7,332.12,-69.42,0.16,0.22,34.63,3.920338983050783,0.1937046004842955
9,          PJ03        , 2016-12-11T17:57:14        ,321.25,332.58,-69.39,0.15,0.23,34.39,3.913438256658594,0.18159806295398084
10,          PJ03        , 2016-12-11T17:58:14        ,321.79,333.04,-69.35,0.15,0.23,34.2,3.8965375302663006,0.18159806295398084
11,          PJ03        , 2016-12-11T17:59:15        ,322.33,333.63,-69.23,0.15,0.23,34.18,3.7222518159805986,0.18159806295398084
12,          PJ03        , 2016-12-11T18:00:16        ,322.87,333.92,-69.39,0.15,0.24,33.81,3.9111622276028584,0.18159806295398084
13,          PJ03        , 2016-12-11T18:01:16        ,323.41,334.47,-69.22,0.14,0.24,33.95,3.7853026634381877,0.1694915254236946
14,          PJ03        , 2016-12-11T18:02:17        ,323.95,334.84,-69.09,0.14,0.24,34.09,3.8771844660194006,0.16978537342203026
15,          PJ03        , 2016-12-11T18:03:18        ,324.49,335.18,-69.08,0.14,0.25,34.09,4.00456310679607,0.16990291262135315
16,          PJ03        , 2016-12-11T18:05:19        ,325.57,336.31,-69.08,0.15,0.25,34.04,3.7132038834951118,0.18203883495141326
17,          PJ03        , 2016-12-11T18:07:20        ,326.66,337.09,-68.88,0.15,0.26,34.45,3.8566019417476127,0.18203883495144169
18,          PJ03        , 2016-12-11T18:09:21        ,327.74,337.83,-68.79,0.15,0.26,34.73,4.038543689320363,0.18203883495144169
19,          PJ03        , 2016-12-11T18:10:22        ,328.28,338.31,-68.65,0.16,0.27,35.03,3.9960194174756793,0.19417475728158706
20,          PJ03        , 2016-12-11T18:16:26        ,331.53,340.96,-68.34,0.17,0.28,36.19,4.017804878048764,0.20731707317077053
21,          PJ03        , 2016-12-11T18:17:26        ,332.07,341.41,-68.31,0.18,0.29,36.37,4.009024390243837,0.21951219512195053
22,          PJ03        , 2016-12-11T18:18:27        ,332.61,342.12,-68.42,0.18,0.29,36.37,3.683170731707321,0.21951219512197895
23,          PJ03        , 2016-12-11T18:19:28        ,333.15,342.6,-68.46,0.18,0.29,36.45,3.637804878048712,0.21951219512195053
24,          PJ03        , 2016-12-11T18:20:28        ,333.69,342.99,-68.17,0.19,0.29,37.0,3.702195121951206,0.23144027060709504
25,          PJ04        , 2017-02-02T13:38:38        ,268.6,285.7,-75.1,0.1,0.1,15.37,5.645454545454584,0.10330578512400734
26,          PJ04        , 2017-02-02T13:39:39        ,269.14,285.87,-75.08,0.1,0.1,13.65,6.009834710743803,0.10330578512397892
27,          PJ04        , 2017-02-02T13:40:40        ,269.68,286.04,-75.05,0.11,0.09,12.22,6.374214876033022,0.11363636363637397
28,          PJ04        , 2017-02-02T13:41:41        ,270.23,286.72,-74.99,0.11,0.09,10.83,6.221735537190057,0.11363636363637397
29,          PJ04        , 2017-02-02T13:49:48        ,274.58,291.41,-74.54,0.12,0.12,12.38,5.577854077253164,0.12875536480686378
30,          PJ04        , 2017-02-02T13:50:49        ,275.12,292.13,-74.43,0.12,0.13,13.44,5.345321888412002,0.12875536480686378
31,          PJ04        , 2017-02-02T13:59:57        ,280.01,296.01,-73.95,0.14,0.19,22.14,5.941263858093123,0.155210643015522
32,          PJ04        , 2017-02-02T14:12:08        ,286.53,302.42,-73.2,0.18,0.26,30.83,5.161090487238937,0.2088167053364316
33,          PJ04        , 2017-02-02T14:13:08        ,287.08,303.09,-73.17,0.18,0.26,31.39,4.933828306264502,0.2088167053364316
34,          PJ04        , 2017-02-02T14:15:10        ,288.16,304.13,-73.02,0.18,0.27,32.57,4.8073317865429885,0.2088167053364316
35,          PJ04        , 2017-02-02T14:16:11        ,288.71,304.56,-72.95,0.19,0.28,33.14,4.858491879350311,0.22041763341067622
36,          PJ04        , 2017-02-02T14:17:12        ,289.25,304.68,-72.98,0.19,0.28,33.54,5.259280742459396,0.2204176334106478
37,          PJ04        , 2017-02-02T14:29:54        ,296.05,310.94,-72.28,0.23,0.34,39.22,4.696080760095015,0.2731591448931283
38,          PJ04        , 2017-02-02T14:30:55        ,296.59,311.49,-72.31,0.23,0.34,39.5,4.582874109263628,0.27315914489315674
39,          PJ04        , 2017-02-02T14:31:56        ,297.13,311.68,-72.26,0.23,0.35,39.86,4.897220902612844,0.2731591448931283
40,          PJ06        , 2017-05-19T06:49:03        ,220.87,225.73,-80.14,0.17,0.1,22.87,7.538704156479241,0.10391198044008831
41,          PJ06        , 2017-05-19T06:50:34        ,221.68,226.47,-80.18,0.16,0.11,20.54,7.896381418092915,0.09779951100244944
42,          PJ06        , 2017-05-19T06:51:34        ,222.22,228.01,-80.09,0.15,0.11,19.47,7.495061124694388,0.08283789010009457
43,          PJ07        , 2017-07-11T02:51:41        ,179.53,146.24,-78.28,0.15,0.13,16.22,9.316585365853655,0.09893798005660415
44,          PJ07        , 2017-07-11T02:52:43        ,180.08,147.16,-78.42,0.14,0.14,15.52,9.251270718232064,0.09668508287290933
45,          PJ07        , 2017-07-11T02:59:52        ,183.91,152.33,-78.99,0.15,0.16,12.88,9.51082872928174,0.10359116022100068
46,          PJ07        , 2017-07-11T03:02:56        ,185.55,154.51,-79.16,0.15,0.17,12.88,9.74235511713934,0.0924784217015997
47,          PJ09        , 2017-10-24T18:47:49        ,91.95,71.62,-64.17,0.18,0.4,49.99,8.751948051948048,0.29220779220779747
48,          PJ09        , 2017-10-24T18:48:50        ,92.49,72.21,-64.31,0.18,0.39,48.73,8.334155844155859,0.2922077922078046
49,          PJ09        , 2017-10-24T19:07:00        ,102.22,78.18,-64.76,0.2,0.28,32.34,8.45397435897435,0.3205128205128247
50,          PJ09        , 2017-10-24T19:08:00        ,102.76,78.69,-64.85,0.2,0.28,31.53,8.176666666666677,0.3205128205128247
51,          PJ09        , 2017-10-24T19:20:07        ,109.25,83.24,-65.59,0.23,0.26,23.53,7.521604938271622,0.3549382716049436
52,          PJ09        , 2017-10-24T19:21:08        ,109.79,83.88,-65.73,0.23,0.26,22.85,7.07395061728397,0.3549382716049436
53,          PJ09        , 2017-10-24T19:22:08        ,110.33,84.46,-65.77,0.23,0.26,22.32,6.718888888888898,0.35493827160495073
54,          PJ09        , 2017-10-24T19:24:10        ,111.41,85.22,-65.9,0.23,0.26,21.23,6.626049382716047,0.35326491149785255
